,year,number,percentage
0,2030,0.0,0.0
1,2031,80575.95310127958,0.38645541055769583
2,2032,191660.58847451114,0.9192354363285906
3,2033,344263.948716354,1.651146037008892
4,2034,552886.932489164,2.651735887238197
5,2035,836205.7456173701,4.01057911567084
6,2036,1217513.5054185193,5.839393311359804
7,2037,1724524.8073456944,8.27110219350453
8,2038,2387934.5020281994,11.452923271118461
9,2039,3237972.1037166524,15.529842224060683
10,2040,4298344.656337113,20.615561900897426
11,2041,5577758.618553422,26.75183989713872
12,2042,7060845.157867002,33.86496478593287
13,2043,8702260.129575409,41.73745865503793
14,2044,10428394.378623787,50.01627999339946
15,2045,12148755.607476085,58.26741298549681
16,2046,13774040.638208821,66.06254502738044
17,2047,15233716.38702967,73.06338794738451
18,2048,16486251.632193176,79.07075123354042
19,2049,17519690.359589484,84.0272918925155
20,2050,18345107.2650818,87.98612597161535
